"label","index","nr_pix","rows_with_2","cols_with_2","rows_with_3p","cols_with_3p","height","width","left2tile","right2tile","verticalness","top2tile","bottom2tile","horizontalness","diagonalness"
"greaterequal","6",58,7,0,7,18,16,19,1,0,0.0172413793103448,39,39,1.3448275862069,1
"greaterequal","7",52,7,1,7,16,16,18,0,0,0,35,35,1.34615384615385,1
"greaterequal","8",57,6,2,8,17,16,19,0,0,0,41,41,1.43859649122807,0
"less","1",34,11,14,3,1,16,18,0,0,0,16,16,0.941176470588235,4
"less","2",37,11,13,4,3,17,18,0,0,0,16,16,0.864864864864865,4
"less","3",40,5,13,9,4,16,19,0,0,0,19,19,0.95,2
"less","4",38,7,17,8,1,15,19,0,0,0,21,21,1.10526315789474,0
"less","5",46,4,15,11,5,17,21,0,1,0.0217391304347826,22,22,0.956521739130435,6
"less","6",35,8,17,6,0,14,18,0,1,0.0285714285714286,20,20,1.14285714285714,2
"less","7",41,10,18,6,1,17,21,0,0,0,22,22,1.07317073170732,2
"less","8",43,4,19,11,1,16,22,0,0,0,24,24,1.11627906976744,1
"lessequal","1",53,6,1,7,16,17,18,0,1,0.0188679245283019,35,35,1.32075471698113,4
"lessequal","2",55,9,2,6,17,19,19,0,0,0,37,37,1.34545454545455,1
"lessequal","3",59,9,1,7,18,18,21,0,0,0,39,39,1.32203389830508,2
"lessequal","4",61,3,0,12,18,17,20,0,1,0.0163934426229508,39,39,1.27868852459016,5
"lessequal","5",53,6,2,7,15,16,19,0,0,0,37,37,1.39622641509434,1
"lessequal","6",53,4,2,9,15,15,19,0,0,0,37,37,1.39622641509434,1
"lessequal","7",55,6,1,7,16,17,19,2,0,0.0363636363636364,37,37,1.34545454545455,3
"lessequal","8",55,8,3,7,15,17,19,0,0,0,36,36,1.30909090909091,3
"notequal","1",54,5,7,2,11,15,18,4,3,0.12962962962963,30,30,1.11111111111111,11
"notequal","2",57,2,3,2,16,19,19,2,1,0.0526315789473684,33,33,1.15789473684211,14
"notequal","3",55,5,2,2,16,16,18,1,1,0.0363636363636364,31,31,1.12727272727273,15
"notequal","4",53,3,7,2,12,14,19,1,2,0.0566037735849057,32,32,1.20754716981132,11
"notequal","5",56,4,4,2,15,16,19,0,2,0.0357142857142857,32,32,1.14285714285714,14
"notequal","6",59,5,4,2,16,16,20,0,0,0,34,34,1.15254237288136,18
"notequal","7",50,1,6,2,12,15,18,1,1,0.04,30,30,1.2,12
"notequal","8",48,2,6,2,12,12,18,0,0,0,31,31,1.29166666666667,9
"one","1",36,3,2,3,4,18,12,15,15,0.833333333333333,11,11,0.611111111111111,4
"one","2",50,3,6,4,3,23,18,20,16,0.72,20,20,0.8,4
"one","3",42,4,1,3,4,22,13,21,19,0.952380952380952,12,12,0.571428571428571,4
"one","4",48,6,2,1,4,23,20,21,19,0.833333333333333,19,19,0.791666666666667,2
"one","5",35,6,2,1,3,19,11,18,16,0.971428571428571,10,10,0.571428571428571,2
"one","6",44,2,2,4,4,20,17,18,15,0.75,17,17,0.772727272727273,6
"one","7",43,7,3,2,4,21,14,20,19,0.906976744186046,13,13,0.604651162790698,5
"one","8",43,4,0,4,6,20,14,19,19,0.883720930232558,13,13,0.604651162790698,4
"seven","1",32,1,1,1,5,18,14,11,11,0.6875,11,11,0.6875,3
"seven","2",34,1,3,1,3,19,15,12,12,0.705882352941177,12,12,0.705882352941177,3
"seven","3",34,2,2,1,3,17,16,12,12,0.705882352941177,13,13,0.764705882352941,3
"seven","4",39,2,3,1,3,19,19,13,13,0.666666666666667,16,16,0.82051282051282,3
"seven","5",39,3,2,1,5,19,18,11,12,0.58974358974359,15,15,0.769230769230769,5
"seven","6",37,3,4,1,4,19,16,11,11,0.594594594594595,13,13,0.702702702702703,3
"seven","7",36,2,1,1,5,19,16,12,13,0.694444444444444,12,12,0.666666666666667,2
"seven","8",38,5,1,1,6,19,15,11,12,0.605263157894737,11,11,0.578947368421053,7
"six","1",49,5,1,9,10,16,11,7,10,0.346938775510204,11,11,0.448979591836735,15
"six","2",48,5,0,7,12,17,12,8,11,0.395833333333333,14,14,0.583333333333333,13
"six","3",55,5,0,8,13,17,13,13,13,0.472727272727273,19,19,0.690909090909091,8
"six","4",63,6,0,10,14,19,14,13,14,0.428571428571429,18,18,0.571428571428571,13
"six","5",66,7,0,10,16,20,17,13,17,0.454545454545455,26,26,0.787878787878788,10
"six","6",66,9,0,10,16,22,17,15,15,0.454545454545455,20,20,0.606060606060606,13
"six","7",51,5,0,9,12,19,12,13,16,0.568627450980392,15,15,0.588235294117647,5
"six","8",65,5,0,12,16,20,16,14,12,0.4,18,18,0.553846153846154,16
"three","1",42,4,0,4,10,17,11,9,6,0.357142857142857,20,20,0.952380952380952,6
"three","2",40,5,0,3,9,14,10,8,4,0.3,20,20,1,6
"three","3",52,4,0,6,12,18,12,8,6,0.269230769230769,25,25,0.961538461538462,8
"three","4",57,6,0,6,13,17,14,7,3,0.175438596491228,29,29,1.01754385964912,11
