a	0000	37	2	5	8	7	12	13	13	12	0.32432432432432434	9	8	0.21621621621621623	0
a	0001	77	1	0	12	16	17	17	26	11	0.14285714285714285	25	26	0.33766233766233766	0
a	0002	41	1	2	9	8	10	10	17	10	0.24390243902439024	9	9	0.21951219512195122	0
a	0003	54	4	4	10	9	14	13	19	15	0.2777777777777778	11	11	0.2037037037037037	0
a	0004	52	5	10	9	6	14	18	17	13	0.25	13	12	0.23076923076923078	0
a	0005	57	5	10	13	6	18	19	24	22	0.38596491228070173	11	10	0.17543859649122806	0
a	0006	38	2	6	9	5	11	11	17	12	0.3157894736842105	9	11	0.2894736842105263	0
a	0007	24	1	3	5	5	6	10	5	3	0.125	9	9	0.375	0
a	0008	53	5	6	10	7	15	15	20	16	0.3018867924528302	11	12	0.22641509433962265	0
a	0009	53	2	9	11	6	16	17	18	14	0.2641509433962264	10	9	0.16981132075471697	0
a	0010	71	4	9	16	11	21	21	27	24	0.3380281690140845	14	14	0.19718309859154928	0
a	0011	35	9	8	3	2	12	11	16	14	0.4	10	8	0.22857142857142856	0
a	0012	36	5	9	6	4	11	13	13	10	0.2777777777777778	8	7	0.19444444444444445	0
a	0013	57	2	5	11	11	14	19	15	10	0.17543859649122806	17	17	0.2982456140350877	0
a	0014	43	5	5	7	6	12	14	16	12	0.27906976744186046	14	12	0.27906976744186046	0
a	0015	38	7	6	5	5	12	11	18	15	0.39473684210526316	10	9	0.23684210526315788	0
a	0016	44	2	3	8	9	11	12	11	11	0.25	10	11	0.25	0
a	0017	56	2	7	14	8	16	19	23	16	0.2857142857142857	11	11	0.19642857142857142	0
a	0018	45	3	10	10	5	14	16	11	13	0.28888888888888886	11	11	0.24444444444444444	0
a	0019	53	1	4	11	9	14	13	19	16	0.3018867924528302	10	9	0.16981132075471697	0
a	0020	40	9	6	4	6	13	12	13	12	0.3	11	12	0.3	0
a	0021	59	2	8	10	9	12	17	25	11	0.1864406779661017	14	15	0.2542372881355932	0
a	0022	59	1	4	12	11	13	18	18	8	0.13559322033898305	12	10	0.1694915254237288	0
a	0023	54	3	8	12	6	16	14	29	16	0.2962962962962963	12	14	0.25925925925925924	0
